pickup_community_area,hour,demand,assigned_taxis,served_trips,unmet_trips
26,10,1.312,1,1.312,0.0
26,11,1.286,1,1.286,0.0
26,12,1.344,1,1.344,0.0
26,13,1.573,1,1.573,0.0
26,14,1.381,1,1.381,0.0
26,15,1.395,1,1.395,0.0
26,16,1.31,1,1.31,0.0
26,17,1.227,1,1.227,0.0
26,18,1.147,1,1.147,0.0
26,19,1.155,1,1.155,0.0
26,20,1.232,1,1.232,0.0
26,21,1.13,1,1.13,0.0
26,22,1.105,1,1.105,0.0
26,23,1.132,1,1.132,0.0
27,0,1.104,1,1.104,0.0
27,1,1.116,1,1.116,0.0
27,2,1.04,1,1.04,0.0
27,3,1.136,1,1.136,0.0
27,4,1.096,1,1.096,0.0
27,5,1.08,1,1.08,0.0
27,6,1.164,1,1.164,0.0
27,7,1.217,1,1.217,0.0
27,8,1.567,1,1.567,0.0
27,9,1.761,1,1.761,0.0
27,10,1.853,1,1.853,0.0
27,11,1.841,1,1.841,0.0
27,12,1.848,1,1.848,0.0
27,13,2.039,2,2.039,0.0
27,14,1.741,1,1.741,0.0
27,15,1.83,1,1.83,0.0
27,16,1.593,1,1.593,0.0
27,17,1.529,1,1.529,0.0
27,18,1.377,1,1.377,0.0
27,19,1.418,1,1.418,0.0
27,20,1.281,1,1.281,0.0
27,21,1.276,1,1.276,0.0
27,22,1.304,1,1.304,0.0
27,23,1.163,1,1.163,0.0
28,0,19.92,10,19.92,0.0
28,1,12.313,7,12.313,0.0
28,2,8.262,5,8.262,0.0
28,3,3.821,2,3.821,0.0
28,4,3.802,2,3.802,0.0
28,5,9.529,5,9.529,0.0
28,6,36.229,19,36.229,0.0
28,7,109.881,55,109.881,0.0
28,8,182.506,92,182.506,0.0
28,9,174.819,88,174.819,0.0
28,10,120.795,61,120.795,0.0
28,11,103.899,52,103.899,0.0
28,12,107.729,54,107.729,0.0
28,13,94.397,48,94.397,0.0
28,14,91.382,46,91.382,0.0
28,15,93.08,47,93.08,0.0
28,16,103.322,52,103.322,0.0
28,17,105.881,53,105.881,0.0
28,18,88.649,45,88.649,0.0
28,19,63.132,32,63.132,0.0
28,20,49.503,25,49.503,0.0
28,21,45.784,23,45.784,0.0
28,22,42.903,22,42.903,0.0
28,23,32.803,17,32.803,0.0
29,0,1.121,1,1.121,0.0
29,1,1.087,1,1.087,0.0
29,2,1.529,1,1.529,0.0
29,3,1.033,1,1.033,0.0
29,4,1.167,1,1.167,0.0
29,5,1.122,1,1.122,0.0
29,6,1.337,1,1.337,0.0
29,7,1.461,1,1.461,0.0
29,8,1.474,1,1.474,0.0
29,9,1.478,1,1.478,0.0
29,10,1.465,1,1.465,0.0
29,11,1.676,1,1.676,0.0
29,12,1.734,1,1.734,0.0
29,13,1.948,1,1.948,0.0
29,14,1.924,1,1.924,0.0
29,15,1.903,1,1.903,0.0
29,16,1.648,1,1.648,0.0
29,17,1.463,1,1.463,0.0
29,18,1.393,1,1.393,0.0
29,19,1.45,1,1.45,0.0
29,20,1.397,1,1.397,0.0
29,21,1.65,1,1.65,0.0
29,22,1.623,1,1.623,0.0
29,23,1.394,1,1.394,0.0
30,0,1.222,1,1.222,0.0
30,1,1.05,1,1.05,0.0
30,2,1.097,1,1.097,0.0
30,3,1.121,1,1.121,0.0
30,4,1.069,1,1.069,0.0
30,5,1.089,1,1.089,0.0
30,6,1.179,1,1.179,0.0
30,7,1.218,1,1.218,0.0
30,8,1.366,1,1.366,0.0
30,9,1.352,1,1.352,0.0
30,10,1.549,1,1.549,0.0
30,11,1.556,1,1.556,0.0
30,12,1.62,1,1.62,0.0
30,13,1.524,1,1.524,0.0
30,14,1.498,1,1.498,0.0
30,15,1.44,1,1.44,0.0
30,16,1.338,1,1.338,0.0
30,17,1.284,1,1.284,0.0
30,18,1.272,1,1.272,0.0
30,19,1.28,1,1.28,0.0
30,20,1.124,1,1.124,0.0
30,21,1.115,1,1.115,0.0
30,22,1.19,1,1.19,0.0
30,23,1.118,1,1.118,0.0
31,0,1.435,1,1.435,0.0
31,1,1.435,1,1.435,0.0
31,2,2.007,2,2.007,0.0
31,3,2.124,2,2.124,0.0
31,4,1.41,1,1.41,0.0
31,5,1.289,1,1.289,0.0
31,6,1.363,1,1.363,0.0
31,7,1.678,1,1.678,0.0
31,8,2.006,2,2.006,0.0
31,9,1.833,1,1.833,0.0
31,10,1.906,1,1.906,0.0
31,11,2.022,2,2.022,0.0
31,12,2.077,2,2.077,0.0
31,13,2.285,2,2.285,0.0
31,14,2.345,2,2.345,0.0
31,15,2.253,2,2.253,0.0
31,16,2.186,2,2.186,0.0
31,17,2.258,2,2.258,0.0
31,18,2.028,2,2.028,0.0
31,19,1.705,1,1.705,0.0
31,20,1.731,1,1.731,0.0
31,21,1.592,1,1.592,0.0
31,22,1.873,1,1.873,0.0
31,23,1.749,1,1.749,0.0
32,0,19.838,10,19.838,0.0
32,1,8.993,5,8.993,0.0
32,2,5.11,3,5.11,0.0
32,3,5.432,3,5.432,0.0
32,4,8.978,5,8.978,0.0
32,5,19.941,10,19.941,0.0
32,6,44.909,23,44.909,0.0
32,7,108.793,55,108.793,0.0
32,8,161.777,81,161.777,0.0
32,9,154.918,78,154.918,0.0
32,10,144.651,73,144.651,0.0
32,11,165.508,83,165.508,0.0
32,12,175.018,88,175.018,0.0
32,13,179.053,90,179.053,0.0
32,14,188.404,95,188.404,0.0
32,15,217.15,109,217.15,0.0
32,16,259.139,130,259.139,0.0
32,17,269.466,135,269.466,0.0
32,18,235.11,118,235.11,0.0
32,19,167.324,84,167.324,0.0
32,20,110.826,56,110.826,0.0
32,21,88.697,45,88.697,0.0
32,22,69.629,35,69.629,0.0
32,23,39.02,20,39.02,0.0
